Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Carlow-Kilkenny,AYLWARD,BOBBY,,1,0,0,4724,0,0,7550,7550,1,161
Carlow-Kilkenny,BYRNE,HELENA,,1,0,0,11282,2077,0,992,992,1,162
Carlow-Kilkenny,DEERING,PAT,,1,0,0,6345,0,0,5929,5929,1,163
Carlow-Kilkenny,FUNCHION,KATHLEEN,Elected,1,0,1,0,0,0,17493,17493,1,164
Carlow-Kilkenny,HAYES,ALAN,,1,0,0,9927,722,0,2347,2347,1,165
Carlow-Kilkenny,HYNES,DENIS,,1,0,0,10066,861,0,2208,2208,1,166
Carlow-Kilkenny,McGUINNESS,JOHN,,1,0,0,1716,0,0,10558,10558,1,167
Carlow-Kilkenny,MURNANE Oï¿½CONNOR,JENNIFER,,1,0,0,2923,0,0,9351,9351,1,168
Carlow-Kilkenny,NOONAN,MALCOLM,,1,0,0,7332,0,0,4942,4942,1,169
Carlow-Kilkenny,Oï¿½NEILL,MELISSA,,1,0,0,11843,2638,0,431,431,1,170
Carlow-Kilkenny,O'NEILL,PATRICK,,1,0,0,8600,0,0,3674,3674,1,171
Carlow-Kilkenny,PHELAN,JOHN PAUL,,1,0,0,5878,0,0,6396,6396,1,172
Carlow-Kilkenny,RAY,ANGELA,,1,0,0,12060,2855,0,214,214,1,175
Carlow-Kilkenny,WALLACE,ADRIENNE,,1,0,0,10716,1511,0,1558,1558,1,174
Cavan-Monaghan,Carthy,Matt,Elected,1,0,1,0,0,0,16310,16310,2,186
Cavan-Monaghan,Donnelly,Tate,,1,0,0,9530,507,0,2501,2501,2,187
Cavan-Monaghan,Duffy,Joseph,,1,0,0,11872,2849,0,159,159,2,188
Cavan-Monaghan,Gallagher,Robbie,,1,0,0,6969,0,0,5062,5062,2,189
Cavan-Monaghan,Humphreys,Heather,Elected,1,0,1,0,0,0,12808,12808,2,190
Cavan-Monaghan,McIntyre,Sandra,,1,0,0,10730,1707,0,1301,1301,2,191
Cavan-Monaghan,O'Reilly,Sarah,,1,0,0,8191,0,0,3840,3840,2,193
Cavan-Monaghan,O'Reilly,T.P.,,1,0,0,6907,0,0,5124,5124,2,194
Cavan-Monaghan,Smith,Brendan,,1,0,0,4677,0,0,7354,7354,2,195
Cavan-Monaghan,Smith,Emmett,,1,0,0,11201,2178,0,830,830,2,196
Cavan-Monaghan,Smyth,Niamh,,1,0,0,6286,0,0,5745,5745,2,197
Cavan-Monaghan,Tully,Pauline,,1,0,0,1865,0,0,10166,10166,2,198
Cavan-Monaghan,Van Der Spek,Liam,,1,0,0,11048,2025,0,983,983,2,199
Clare,Barrett,David,,1,0,0,11500,2576,0,400,400,3,161
Clare,Breen,Pat,,1,0,0,6494,0,0,5406,5406,3,162
Clare,Carey,Joe,,1,0,0,6216,0,0,5684,5684,3,164
Clare,Conway,Martin,,1,0,0,9615,691,0,2285,2285,3,165
Clare,Crowe,Cathal,,1,0,0,3545,0,0,8355,8355,3,166
Clare,Dooley,Timmy,,1,0,0,4137,0,0,7763,7763,3,167
Clare,Garvey,Roisin,,1,0,0,6276,0,0,5624,5624,3,168
Clare,Leahy,Michael,,1,0,0,11196,2272,0,704,704,3,169
Clare,Leyden,Trudy Ann,,1,0,0,11682,2758,0,218,218,3,170
Clare,McInerney,Rita,,1,0,0,7764,0,0,4136,4136,3,171
Clare,McNamara,Michael,,1,0,0,4568,0,0,7332,7332,3,172
Clare,O'Brien,Conor,,1,0,0,11713,2789,0,187,187,3,173
Clare,O'Donohoe,Theresa,,1,0,0,10704,1780,0,1196,1196,3,174
Clare,Woulfe,Joseph,,1,0,0,10682,1758,0,1218,1218,3,175
Clare,Wynne,Violet-Anne,,1,0,0,2913,0,0,8987,8987,3,176
Cork East,Buckley,Pat,Elected,1,0,1,0,0,0,12587,12587,4,161
Cork East,Conor,Hannon,,1,0,0,9572,1391,0,1337,1337,4,162
Cork East,Kiely,Thomas,,1,0,0,10474,2293,0,435,435,4,163
Cork East,Linehan-Foley,Mary,,1,0,0,7006,0,0,3903,3903,4,164
Cork East,O'Connor,James,,1,0,0,3883,0,0,7026,7026,4,165
Cork East,O'Driscoll,Pa,,1,0,0,6355,0,0,4554,4554,4,166
Cork East,O'Grady,Shane,,1,0,0,10642,2461,0,267,267,4,167
Cork East,O'Keeffe,Kevin,,1,0,0,3495,0,0,7414,7414,4,168
Cork East,O'Leary,Sean,,1,0,0,10845,2664,0,64,64,4,169
Cork East,Quaide,Liam,,1,0,0,7160,0,0,3749,3749,4,170
Cork East,Sherlock,Seï¿½n,,1,0,0,4299,0,0,6610,6610,4,171
Cork East,Shinnick,Frank,,1,0,0,10454,2273,0,455,455,4,172
Cork East,Stanton,David,,1,0,0,4766,0,0,6143,6143,4,173
Cork North Central,Barry,Mick,,1,0,0,6653,0,0,3703,3703,5,161
Cork North Central,Burke,Colm,,1,0,0,3710,0,0,6646,6646,5,162
Cork North Central,Coughlan,James,,1,0,0,10176,2410,0,180,180,5,163
Cork North Central,Fitzgerald,Tony,,1,0,0,7018,0,0,3338,3338,5,164
Cork North Central,Gould,Thomas,Elected,1,0,1,0,0,0,13811,13811,5,165
Cork North Central,Halpin,Sinead,,1,0,0,9235,1469,0,1121,1121,5,166
Cork North Central,Hogan,Timothy Joseph (T.J.),,1,0,0,10099,2333,0,257,257,5,167
Cork North Central,Keohane,Ger,,1,0,0,9662,1896,0,694,694,5,168
Cork North Central,Maher,John,,1,0,0,7795,29,0,2561,2561,5,169
Cork North Central,Moran,Oliver,,1,0,0,7151,0,0,3205,3205,5,170
Cork North Central,Murphy,Sandra,,1,0,0,9138,1372,0,1218,1218,5,171
Cork North Central,O Cadhla,Diarmaid,,1,0,0,10126,2360,0,230,230,5,172
Cork North Central,O'Donovan,Stephen James,,1,0,0,10312,2546,0,44,44,5,173
Cork North Central,O'Flynn,Kenneth,,1,0,0,6362,0,0,3994,3994,5,174
Cork North Central,O'Leary,Sean,,1,0,0,10219,2453,0,137,137,5,175
Cork North Central,O'Neill,Lorraine,,1,0,0,9200,1434,0,1156,1156,5,176
Cork North Central,O'Sullivan,Padraig,,1,0,0,2198,0,0,8158,8158,5,177
Cork North Central,Toomey,Finian,,1,0,0,9031,1265,0,1325,1325,5,178
Cork North West,CREED,MICHAEL,,1,0,0,3255,0,0,8338,8338,6,161
Cork North West,FINN,COLETTE,,1,0,0,8098,0,0,3495,3495,6,162
Cork North West,KEALY,BECKY,,1,0,0,7716,0,0,3877,3877,6,163
Cork North West,McCARTHY,CIARï¿½N,,1,0,0,7748,0,0,3845,3845,6,164
Cork North West,MOYNIHAN,AINDRIAS,,1,0,0,1965,0,0,9628,9628,6,165
