Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Donegal,Casey,Peter,,1,0,0,11766,2085,0,1143,1143,9,161
Donegal,Casey,Peter,,2,0,0,11105,1424,661,1143,1804,9,161
Donegal,Casey,Peter,,3,0,0,10959,1278,146,1143,1950,9,161
Donegal,Casey,Peter,,4,0,0,10777,1096,182,1143,2132,9,161
Donegal,Casey,Peter,Excluded,5,0,5,0,1096,-2132,1143,0,9,161
Donegal,Casey,Peter,Excluded,6,0,5,0,1096,0,1143,0,9,161
Donegal,Casey,Peter,Excluded,7,0,5,0,1096,0,1143,0,9,161
Donegal,Casey,Peter,Excluded,8,0,5,0,1096,0,1143,0,9,161
Donegal,Casey,Peter,Excluded,9,0,5,0,1096,0,1143,0,9,161
Donegal,Doherty,Pearse,Elected,1,0,1,0,0,0,21044,21044,9,162
Donegal,Doherty,Pearse,Elected,2,3069,1,0,0,-8135,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,3,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,4,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,5,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,6,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,7,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,8,3069,1,0,0,0,21044,12909,9,162
Donegal,Doherty,Pearse,Elected,9,3069,1,0,0,0,21044,12909,9,162
Donegal,Gallagher,Pat The Cope,,1,0,0,5440,0,0,7469,7469,9,163
Donegal,Gallagher,Pat The Cope,,2,0,0,4248,0,1192,7469,8661,9,163
Donegal,Gallagher,Pat The Cope,,3,0,0,4221,0,27,7469,8688,9,163
Donegal,Gallagher,Pat The Cope,,4,0,0,4180,0,41,7469,8729,9,163
Donegal,Gallagher,Pat The Cope,,5,0,0,4004,0,176,7469,8905,9,163
Donegal,Gallagher,Pat The Cope,,6,0,0,3874,0,130,7469,9035,9,163
Donegal,Gallagher,Pat The Cope,,7,0,0,3391,0,483,7469,9518,9,163
Donegal,Gallagher,Pat The Cope,,8,0,0,2763,0,628,7469,10146,9,163
Donegal,Gallagher,Pat The Cope,Excluded,9,0,9,1835,0,928,7469,11074,9,163
Donegal,Harley,Martin M.,,1,0,0,9853,172,0,3056,3056,9,164
Donegal,Harley,Martin M.,,2,0,0,9418,0,435,3056,3491,9,164
Donegal,Harley,Martin M.,,3,0,0,9407,0,11,3056,3502,9,164
Donegal,Harley,Martin M.,,4,0,0,9383,0,24,3056,3526,9,164
Donegal,Harley,Martin M.,,5,0,0,9259,0,124,3056,3650,9,164
Donegal,Harley,Martin M.,,6,0,0,9138,0,121,3056,3771,9,164
Donegal,Harley,Martin M.,,7,0,0,9013,0,125,3056,3896,9,164
Donegal,Harley,Martin M.,Excluded,8,0,8,0,0,-3896,3056,0,9,164
Donegal,Harley,Martin M.,Excluded,9,0,8,0,0,0,3056,0,9,164
Donegal,MacLochlainn,P�draig,Elected,1,0,1,0,0,0,13891,13891,9,165
Donegal,MacLochlainn,P�draig,Elected,2,0,1,0,0,0,13891,13891,9,165
Donegal,MacLochlainn,P�draig,Elected,3,2878,1,0,0,-982,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,4,2878,1,0,0,0,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,5,2878,1,0,0,0,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,6,2878,1,0,0,0,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,7,2878,1,0,0,0,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,8,2878,1,0,0,0,13891,12909,9,165
Donegal,MacLochlainn,P�draig,Elected,9,2878,1,0,0,0,13891,12909,9,165
