Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Galway West,Burke,Conor,,1,0,0,9562,2020,0,495,495,23,161
Galway West,Burke,Conor,,2,0,0,9545,2003,17,495,512,23,161
Galway West,Burke,Conor,Excluded,3,0,3,0,2003,-512,495,0,23,161
Galway West,Burke,Conor,Excluded,4,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,5,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,6,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,7,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,8,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,9,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,10,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,11,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,12,0,3,0,2003,0,495,0,23,161
Galway West,Burke,Conor,Excluded,13,0,3,0,2003,0,495,0,23,161
Galway West,Connolly,Catherine,,1,0,0,4618,0,0,5439,5439,23,162
Galway West,Connolly,Catherine,,2,0,0,4579,0,39,5439,5478,23,162
Galway West,Connolly,Catherine,,3,0,0,4364,0,215,5439,5693,23,162
Galway West,Connolly,Catherine,,4,0,0,4282,0,82,5439,5775,23,162
Galway West,Connolly,Catherine,,5,0,0,4029,0,253,5439,6028,23,162
Galway West,Connolly,Catherine,,6,0,0,3396,0,633,5439,6661,23,162
Galway West,Connolly,Catherine,,7,0,0,2432,0,964,5439,7625,23,162
Galway West,Connolly,Catherine,,8,0,0,1968,0,464,5439,8089,23,162
Galway West,Connolly,Catherine,,9,0,0,1335,0,633,5439,8722,23,162
Galway West,Connolly,Catherine,,10,0,0,1226,0,109,5439,8831,23,162
Galway West,Connolly,Catherine,,11,0,0,1151,0,75,5439,8906,23,162
Galway West,Connolly,Catherine,Elected,12,0,12,0,0,3580,5439,12486,23,162
Galway West,Connolly,Catherine,Elected,13,2060,12,0,0,-2429,5439,10057,23,162
Galway West,Crowe,Ollie,,1,0,0,4882,0,0,5175,5175,23,164
Galway West,Crowe,Ollie,,2,0,0,4877,0,5,5175,5180,23,164
Galway West,Crowe,Ollie,,3,0,0,4850,0,27,5175,5207,23,164
Galway West,Crowe,Ollie,,4,0,0,4747,0,103,5175,5310,23,164
Galway West,Crowe,Ollie,,5,0,0,4673,0,74,5175,5384,23,164
Galway West,Crowe,Ollie,,6,0,0,4502,0,171,5175,5555,23,164
Galway West,Crowe,Ollie,,7,0,0,4386,0,116,5175,5671,23,164
