Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Wicklow,BEHAN,JOE,,1,0,0,8899,0,0,2988,2988,41,183
Wicklow,BEHAN,JOE,,2,0,0,8222,0,677,2988,3665,41,183
Wicklow,BEHAN,JOE,,3,0,0,8214,0,8,2988,3673,41,183
Wicklow,BEHAN,JOE,,4,0,0,8204,0,10,2988,3683,41,183
Wicklow,BEHAN,JOE,,5,0,0,8172,0,32,2988,3715,41,183
Wicklow,BEHAN,JOE,,6,0,0,8082,0,90,2988,3805,41,183
Wicklow,BEHAN,JOE,,7,0,0,7762,0,320,2988,4125,41,183
Wicklow,BEHAN,JOE,,8,0,0,7665,0,97,2988,4222,41,183
Wicklow,BEHAN,JOE,,9,0,0,7327,0,338,2988,4560,41,183
Wicklow,BEHAN,JOE,,10,0,0,6987,0,340,2988,4900,41,183
Wicklow,BEHAN,JOE,,11,0,0,6197,0,790,2988,5690,41,183
Wicklow,BEHAN,JOE,,12,0,0,5946,0,251,2988,5941,41,183
Wicklow,BEHAN,JOE,,13,0,0,5700,0,246,2988,6187,41,183
Wicklow,BEHAN,JOE,Excluded,14,0,14,0,0,-6187,2988,0,41,183
Wicklow,BEHAN,JOE,Excluded,15,0,14,0,0,0,2988,0,41,183
Wicklow,BRADY,JOHN,Elected,1,0,1,0,0,0,17297,17297,41,185
Wicklow,BRADY,JOHN,Elected,2,961,1,0,0,-5410,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,3,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,4,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,5,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,6,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,7,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,8,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,9,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,10,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,11,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,12,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,13,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,14,961,1,0,0,0,17297,11887,41,185
Wicklow,BRADY,JOHN,Elected,15,961,1,0,0,0,17297,11887,41,185
Wicklow,BRIGGS,SHARON,,1,0,0,10850,1935,0,1037,1037,41,186
