Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Candidate Id,,
Right,A, Amelia,Elected,1,0,1,0,0,0,"19,500","19,500",1,,
Right,A, Amelia,Elected,2,0,1,0,0,-749,"19,500","18,751",1,,
Right,A, Amelia,Elected,3,0,1,0,0,0,"19,500","18,751",1,,So aim of this one is to exclued multiple candidates in like 2 rounds of election see imapct on modularity write it up need to see whether to keep eliminated within pary to see impact. Do one the same other one not  combine beatrice n alex? 3 and 4 -650 and -1800 2450 votes then technically same count 
Right,A, Amelia,Elected,4,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,5,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,6,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,7,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,8,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,9,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,10,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,11,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,12,0,1,0,0,0,"19,500","18,751",1,,
Right,A, Amelia,Elected,13,0,1,0,0,0,"19,500","18,751",1,,
Right,A,Ash,,1,,,16751,,0,2000,2000,2,,
Right,A,Ash,,2,,,16401,,350,5600,2350,2,,
Right,A,Ash,,3,,,16401,,100,5600,2450,2,,
Right,A,Ash,,4,,,15551,,750,5600,3200,2,,
Right,A,Ash,,5,,,15301,,250,5600,3450,2,,
Right,A,Ash,,6,,,15001,,300,5600,3750,2,,
Right,A,Ash,,7,,,15001,,0,5600,3750,2,,
Right,A,Ash,,8,,,14251,,750,5600,4500,2,,
Right,A,Ash,Excluded,9,,9,0,,-4500,5600,0,2,,
Right,A,Ash,Excluded,10,,11,0,,0,5600,0,2,,
Right,A,Ash,Excluded,11,,11,0,,0,5600,0,2,,
Right,A,Ash,Excluded,12,,11,0,,0,5600,0,2,,
Right,A,Ash,Excluded,13,,11,0,,0,5600,0,2,,
Right,A,Aisling,,1,,,16551,,0,2200,2200,3,,
Right,A,Aisling,,2,,,16301,,250,2200,2450,3,,
Right,A,Aisling,,3,,,16301,,90,2200,2540,3,,
Right,A,Aisling,,4,,,15461,,750,2200,3290,3,,
Right,A,Aisling,,5,,,15161,,300,2200,3590,3,,
Right,A,Aisling,,6,,,14801,,360,2200,3950,3,,
Right,A,Aisling,,7,,,14801,,0,2200,3950,3,,
Right,A,Aisling,,8,,,13901,,900,2200,4850,3,,
Right,A,Aisling,,9,,,11901,,2000,2200,6850,3,,
Right,A,Aisling,,10,,,9801,,2100,2200,8850,3,,
Right,A,Aisling,,11,,,9801,,0,2200,8850,3,,
Right,A,Aisling,,12,,,9601,,300,2200,9150,3,,
Right,A,Aisling,Excluded,13,,13,0,,-8850,2200,0,3,,
Right,A,Alex,,1,,,16951,,0,1800,1800,4,,
Right,A,Alex,,2,,,16951,,100,1800,1900,4,,
Right,A,Alex,,3,,,16851,,0,1800,1900,4,,
Right,A,Alex,Excluded,4,,4,0,,-1900,1800,0,4,,
Right,A,Alex,Excluded,5,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,6,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,7,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,8,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,9,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,10,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,11,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,12,,4,0,,0,1800,0,4,,
Right,A,Alex,Excluded,13,,4,0,,0,1800,0,4,,
Left,B,Bill,,1,,,5751,,0,13000,13000,5,,
Left,B,Bill,,2,,,5751,,0,13000,13000,5,,
Left,B,Bill,,3,,,5451,,300,13000,13300,5,,
Left,B,Bill,,4,,,5451,,0,13000,13300,5,,
Left,B,Bill,,5,,,5451,,0,13000,13300,5,,
Left,B,Bill,,6,,,5401,,50,13000,13350,5,,
Left,B,Bill,,7,,,3301,,2100,13000,15450,5,,
Left,B,Bill,,8,,,3301,,1500,13000,16950,5,,
Left,B,Bill,,9,,,1801,,0,13000,16950,5,,
Left,B,Bill,,10,,,1801,,0,13000,16950,5,,
Left,B,Bill,Elected,11,,11,0,,4000,13000,20950,5,,
Left,B,Bill,Elected,12,,11,0,,-2199,13000,18751,5,,
Left,B,Bill,Elected,13,,11,0,,0,13000,18751,5,,
Left,B,Ben,,1,,,12751,,0,6000,6000,6,,
Left,B,Ben,,2,,,12751,,0,6000,6000,6,,
Left,B,Ben,,3,,,12651,,100,6000,6100,6,,
Left,B,Ben,,4,,,12651,,0,6000,6100,6,,
Left,B,Ben,,5,,,12651,,0,6000,6100,6,,
Left,B,Ben,,6,,,12651,,0,6000,6100,6,,
Left,B,Ben,,7,,,12001,,600,6000,6700,6,,
Left,B,Ben,,8,,,12001,,700,6000,7400,6,,
Left,B,Ben,,9,,,11301,,0,6000,7400,6,,
Left,B,Ben,,10,,,11151,,200,6000,7600,6,,
Left,B,Ben,Excluded,11,,11,0,,-7600,6000,0,6,,
Left,B,Ben,Excluded,12,,11,0,,0,6000,0,6,,
Left,B,Ben,Excluded,13,,11,0,,0,6000,0,6,,
Left,B,Bob, ,1,,,15651,,0,3100,3100,7,,
Left,B,Bob, ,2,,,15651,,0,3000,3100,7,,
Left,B,Bob, ,3,,,15551,,100,3000,3300,7,,
Left,B,Bob, ,4,,,15551,,0,3000,3200,7,,
Left,B,Bob, ,5,,,15551,,0,3000,3200,7,,
Left,B,Bob, ,6,,,15551,,0,3000,3200,7,,
Left,B,Bob, ,7,,,15101,,450,3000,3650,7,,
Left,B,Bob,Excluded,8,,8,0,,-3650,3000,0,7,,
Left,B,Bob,Excluded,9,,8,0,,0,3000,0,7,,
Left,B,Bob,Excluded,10,,8,0,,0,3000,0,7,,
Left,B,Bob,Excluded,11,,8,0,,0,3000,0,7,,
