Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Candidate Id,,,,,
Right,A, Amelia,Elected,1,0,1,0,0,0,"19,500","19,500",1,,,,,
Right,A, Amelia,Elected,2,0,1,0,0,-749,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,3,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,4,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,5,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,6,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,7,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,8,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,9,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,10,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,11,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,12,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,13,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,14,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A, Amelia,Elected,15,0,1,0,0,0,"19,500","18,751",1,,,,,
Right,A,Ash,,1,,,16751,,0,2000,2000,2,,,,,
Right,A,Ash,,2,,,16401,,49,2000,2049,2,,,,,
Right,A,Ash,,3,,,16401,,49,2000,2099,2,,49,,,
Right,A,Ash,,4,,,16301,,65,2000,2164,2,,,,,
Right,A,Ash,,5,,,15551,,163,2000,2327,2,,163,,,
Right,A,Ash,Excluded,6,,,15301,,-2327,2000,0,2,,465,,,
Right,A,Ash,Excluded,7,,,15001,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,8,,,15001,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,9,,,14251,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,10,,,2901,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,11,,11,0,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,12,,11,0,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,13,,11,0,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,14,,11,0,,0,2000,0,2,,,,,
Right,A,Ash,Excluded,15,,11,0,,0,2000,0,2,,,,,
Right,A,Aisling,,1,,,16551,,0,2200,2200,3,,,,,
Right,A,Aisling,,2,,,16301,,49,2200,2249,3,,,,,
Right,A,Aisling,,3,,,16301,,49,2200,2298,3,,,,,
Right,A,Aisling,,4,,,16211,,65,2200,2363,3,,65,,,
Right,A,Aisling,,5,,,15461,,163,2200,2526,3,,,,,
Right,A,Aisling,,6,,,15161,,465,2200,2991,3,,,,,
Right,A,Aisling,Excluded,7,,7,14801,,-2991,2200,0,3,,747,,,
Right,A,Aisling,Excluded,8,,7,14801,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,9,,7,13901,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,10,,7,13901,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,11,,7,11901,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,12,,7,9801,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,13,,7,9801,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,14,,7,9601,,0,2200,0,3,,,,,
Right,A,Aisling,Excluded,15,,7,,,0,2200,0,3,,,,,
Right,A,Alex,,1,,,16951,,0,1800,1800,4,,,,,
Right,A,Alex,,2,,,16951,,49,1800,1849,4,,,,,
Right,A,Alex,,3,,,16851,,49,1800,1899,4,,,,,
Right,A,Alex,,4,,,0,,65,1800,1964,4,,,,,
Right,A,Alex,Excluded,5,,5,0,,-1964,1800,0,4,h,,,,
Right,A,Alex,Excluded,6,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,7,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,8,,5,0,,0,1800,0,4,,,679,,
Right,A,Alex,Excluded,9,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,10,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,11,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,12,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,13,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,14,,5,0,,0,1800,0,4,,,,,
Right,A,Alex,Excluded,15,,5,0,,0,1800,817,4,,,,,
Left,B,Bill,,1,,,5751,,0,13000,13817,5,,,,,
Left,B,Bill,,2,,,5751,,49,13000,13866,5,,,,,
Left,B,Bill,,3,,,5451,,49,13000,13866,5,,,,,
Left,B,Bill,,4,,,5451,,65,13000,13866,5,,,,,H
Left,B,Bill,,5,,,5451,,163,13000,14029,5,,,,,
Left,B,Bill,,6,,,5451,,465,13000,14494,5,,,,,
Left,B,Bill,,7,,,5401,,747,13000,15241,5,,,,,
Left,B,Bill,,8,,,3301,,550,13000,15791,5,,,,,
Left,B,Bill,,9,,,3301,,764,13000,16555,5,,,,,
Left,B,Bill,,10,,,1801,,1170,13000,17725,5,,,,,
Left,B,Bill,Elected,11,,11,1801,,1780,13000,19505,5,,,,,
Left,B,Bill,Elected,12,,11,1801,,-754,13000,18751,5,,,,,
Left,B,Bill,Elected,13,,11,0,,0,13000,18751,5,,,,,
Left,B,Bill,Elected,14,,11,0,,-2199,13000,18751,5,,,,,
Left,B,Bill,Elected,15,,11,0,,0,13000,31559,5,,,,,
Left,B,Ben,,1,,,12751,,0,6000,6000,6,,,,,
Left,B,Ben,,2,,,12751,,49,6000,6049,6,,,,,
Left,B,Ben,,3,,,12651,,49,6000,6098,6,,,,,
Left,B,Ben,,4,,,12651,,65,6000,6163,6,,,,,
Left,B,Ben,,5,,,12651,,163,6000,6326,6,,,,,
Left,B,Ben,,6,,,12651,,465,6000,6791,6,,,,,
Left,B,Ben,,7,,,12651,,747,6000,7538,6,,,,,
